,source,destination,tms
0,Ruotsi,Lappi,"1431,2;1432,2;1433,2;1434,2;1436,2"
1,Norja,Lappi,"1447,2;1446,2;1445,2;1444,2;1443,2"
2,Venäjä,Lappi,"1430,2"
3,Pohjois-Pohjanmaa,Lappi,"1203,2;1225,2;1229,2"
4,Kainuu,Pohjois-Pohjanmaa,"1328,1;1327,1;1324,2;1326,2"
5,Pohjois-Savo,Pohjois-Pohjanmaa,"807,2"
6,Keski-Suomi,Pohjois-Pohjanmaa,"1101,1"
7,Keski-Pohjanmaa,Pohjois-Pohjanmaa,"1103,1;1052,1"
8,Pohjanmaa,Keski-Pohjanmaa,"1023,2;1048,2"
9,Keski-Suomi,Keski-Pohjanmaa,"1064,2"
10,Etelä-Pohjanmaa,Pohjanmaa,"1028,1;1031,1;1004,2;1001,1;1046,2"
11,Satakunta,Pohjanmaa,"1050,1"
12,Pirkanmaa,Satakunta,"226,2;224,1;210,2"
13,Kanta-Häme,Satakunta,"403,1"
14,Varsinais-Suomi,Satakunta,"206,1"
15,Kanta-Häme,Varsinais-Suomi,"209,2"
16,Pirkanmaa,Varsinais-Suomi,"445,1"
17,Uusimaa,Varsinais-Suomi,"248,1"
18,Kanta-Häme,Uusimaa,"122,2;429,2"
19,Päijät-Häme,Uusimaa,"142,2"
20,Kymenlaakso,Uusimaa,"521,2;575,2"
21,Pirkanmaa,Kanta-Häme,"402,2"
22,Päijät-Häme,Kanta-Häme,"407,1;408,2"
23,Päijät-Häme,Kymenlaakso,"502,1"
24,Etelä-Savo,Kymenlaakso,"527,2"
25,Etelä-Karjala,Kymenlaakso,"587,2;503,2"
26,Venäjä,Kymenlaakso,"598,2"
27,Etelä-Savo,Etelä-Karjala,"526,1"
28,Venäjä,Etelä-Karjala,"306,2;532,2"
29,Pohjois-Karjala,Etelä-Karjala,"732,2"
30,Pohjois-Karjala,Etelä-Savo,"704,2;723,2"
31,Pohjois-Savo,Etelä-Savo,"631,2;801,2"
32,Keski-Suomi,Etelä-Savo,"622,2;629,1"
33,Pirkanmaa,Keski-Suomi,"448,1;905,1"
34,Venäjä,Pohjois-Karjala,"724,2"
35,Pohjois-Savo,Pohjois-Karjala,"804,1;805,1"
36,Kainuu,Pohjois-Karjala,"1303,2;1323,2"
